"Kind","Line","Property","Fallback","Code"
"GetPropertyValueWithDefault","7986","BackFillStyle","FillStyle.Solid","return HmiScreenItem.GetDrawingContextType(hmiScreenItem) != DrawingContextType.ExtendedDrawingRenderer || (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BackFillStyle"", FillStyle.Solid) != FillStyle.GradientHorizontal && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BackFillStyle"", FillStyle.Solid) != FillStyle.GradientVertical) || !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseFirstGradient"", defaultValue: false);"
"GetPropertyValueWithDefault","7991","BackFillStyle","FillStyle.Solid","return HmiScreenItem.GetDrawingContextType(hmiScreenItem) != DrawingContextType.ExtendedDrawingRenderer || (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BackFillStyle"", FillStyle.Solid) != FillStyle.GradientHorizontal && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BackFillStyle"", FillStyle.Solid) != FillStyle.GradientVertical) || !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseSecondGradient"", defaultValue: false);"
"GetPropertyValueWithDefault","8025","FocusWidth","1","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""FocusWidth"", 1) == 0;"
"GetPropertyValueWithDefault","8226","MaintainOriginalSize","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""MaintainOriginalSize"", defaultValue: true);"
"GetPropertyValueWithDefault","9132","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9176","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9188","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9200","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9216","BorderWidth","1","if (flag || HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BorderWidth"", 1) <= 1)"
"GetPropertyValueWithDefault","9220","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
